handle	population	created_at	years_active	lifetime_prs	lifetime_merged	lifetime_non_self_merged	prs_per_year	non_self_per_year
anseljh	lawyersongithub	2012-08-01T06:57:51Z	13.77	124	87	81	9.01	5.88
jdelacueva	lawyersongithub	2009-02-24T20:44:31Z	17.21	4	2	1	0.23	0.06
pmellis	lawyersongithub	2013-10-31T03:30:02Z	12.52	4	4	4	0.32	0.32
sdpalley	lawyersongithub	2013-07-06T23:05:46Z	12.84	8	5	5	0.62	0.39
statonjr	lawyersongithub	2008-03-17T15:59:35Z	18.15	30	21	21	1.65	1.16
maacl	lawyersongithub	2009-03-16T22:58:38Z	17.15	88	69	58	5.13	3.38
prestonjbyrne	lawyersongithub	2014-06-02T00:11:17Z	11.94	2	1	1	0.17	0.08
dereklipkin	lawyersongithub	2014-04-10T21:57:14Z	12.08	2	1	1	0.17	0.08
maelorin	lawyersongithub	2013-03-19T01:29:31Z	13.14	0	0	0	0.0	0.0
colarusso	lawyersongithub	2009-06-16T21:26:57Z	16.90	28	26	24	1.66	1.42
Flotob	lawyersongithub	2010-01-18T12:14:56Z	16.31	53	36	24	3.25	1.47
batemapf	lawyersongithub	2014-05-20T13:54:31Z	11.97	376	284	98	31.41	8.19
adelevie	lawyersongithub	2009-05-20T16:46:29Z	16.97	770	629	96	45.37	5.66
joshuasbailes	lawyersongithub	NA	NA	NA	NA	0	NA	NA
benbalter	lawyersongithub	2010-05-20T20:38:33Z	15.97	1225	1115	26	76.71	1.63
hoolio	lawyersongithub	2012-12-02T19:04:44Z	13.43	1	1	1	0.07	0.07
jessephus	lawyersongithub	2013-12-08T02:54:39Z	12.42	30	29	15	2.42	1.21
kanejoe	lawyersongithub	2010-06-17T16:33:56Z	15.90	2	2	2	0.13	0.13
morninj	lawyersongithub	2009-08-25T23:44:10Z	16.71	14	12	12	0.84	0.72
josephcahall	lawyersongithub	2013-03-14T17:34:46Z	13.16	1	1	1	0.08	0.08
ussjoin	lawyersongithub	2008-11-04T03:22:27Z	17.52	13	11	10	0.74	0.57
longobord	lawyersongithub	2013-02-11T04:01:52Z	13.24	2	1	1	0.15	0.08
rschiang	lawyersongithub	2012-03-07T16:20:48Z	14.18	121	99	99	8.53	6.98
mjbommar	active_veteran	2009-05-15T18:58:40Z	16.98	126	98	80	7.42	4.71
Gauntlet173	active_veteran	2015-04-03T21:41:05Z	11.10	165	162	158	14.87	14.24
JSv4	active_veteran	2013-07-19T20:36:35Z	12.80	938	820	712	73.27	55.62
ErichDylus	active_veteran	2019-06-09T15:48:57Z	6.91	67	62	61	9.69	8.82
mkorpela	legalquants	2009-10-08T15:32:12Z	16.58	238	202	187	14.35	11.28
KedalionDaimon	active_veteran	2016-04-30T06:33:15Z	10.02	0	0	0	0.00	0.00
danielhoadley	active_veteran	2014-02-26T21:23:22Z	12.19	9	8	8	0.74	0.66
ryanmcdonough	active_veteran	2009-05-20T18:18:48Z	16.97	44	24	18	2.59	1.06
